t,q_J1,q_J2,q_J3,q_J4,q_J5,q_J6,qd_J1,qd_J2,qd_J3,qd_J4,qd_J5,qd_J6,qdd_J1,qdd_J2,qdd_J3,qdd_J4,qdd_J5,qdd_J6
3.6,1.0977809429168701,0.3776434659957886,-2.181609869003296,1.0226519107818604,-2.362933397293091,-0.7322590351104736,-0.6384148001670837,2.211177110671997,0.12360642105340958,2.369082450866699,-0.9946256875991821,-0.9534916281700134,-0.08571720868349075,0.29688525199890137,0.016596103087067604,0.31808653473854065,-0.13354411721229553,-0.1280212253332138
3.7,1.0309693813323975,0.6090482473373413,-2.1686742305755615,1.2705819606781006,-2.4670231342315674,-0.8320441246032715,-0.6428791880607605,2.226639986038208,0.12447080761194229,2.3856496810913086,-1.001581072807312,-0.9601594805717468,-0.0,0.0,0.0,0.0,-0.0,-0.0
3.8000000000000003,0.9641578197479248,0.8404527902603149,-2.155738592147827,1.5185117721557617,-2.571113109588623,-0.9318291544914246,-0.6384148001670837,2.211177349090576,0.12360643595457077,2.3690826892852783,-0.9946257472038269,-0.9534916877746582,0.08571714162826538,-0.29688504338264465,-0.01659609191119671,-0.31808632612228394,0.13354402780532837,0.12802113592624664
3.9000000000000004,0.8982762694358826,1.0686362981796265,-2.1429829597473145,1.7629904747009277,-2.6737537384033203,-1.0302252769470215,-0.6250215172767639,2.1647889614105225,0.12101328372955322,2.3193817138671875,-0.9737594723701477,-0.9334883689880371,0.1714344173669815,-0.5937705039978027,-0.03319220617413521,-0.6361730694770813,0.26708823442459106,0.2560424506664276
4.0,0.8342549800872803,1.2903770208358765,-2.130587577819824,2.000566005706787,-2.773496627807617,-1.1258429288864136,-0.6026992797851562,2.087475061416626,0.11669137328863144,2.236546516418457,-0.9389823079109192,-0.9001494646072388,0.25715166330337524,-0.8906559348106384,-0.04978832229971886,-0.9542598724365234,0.40063244104385376,0.3840637803077698
4.1000000000000005,0.7730240225791931,1.5024529695510864,-2.118732213973999,2.2277867794036865,-2.868892192840576,-1.2172931432724,-0.5714482665061951,1.9792356491088867,0.11064071953296661,2.120577573776245,-0.8902943730354309,-0.8534750938415527,0.342868834733963,-1.1875410079956055,-0.06638441234827042,-1.2723461389541626,0.5341764688491821,0.5120849013328552
4.2,0.715513288974762,1.7016438245773315,-2.1075973510742188,2.441202402114868,-2.958491563796997,-1.3031872510910034,-0.531268298625946,1.8400707244873047,0.10286130011081696,1.971474528312683,-0.8276955485343933,-0.7934651374816895,0.42858612537384033,-1.484426498413086,-0.08298052847385406,-1.5904330015182495,0.6677206754684448,0.640106201171875
4.3,0.6626530885696411,1.8847273588180542,-2.097362756729126,2.6373603343963623,-3.0408458709716797,-1.3821355104446411,-0.48215943574905396,1.6699800491333008,0.09335310757160187,1.7892372608184814,-0.7511858344078064,-0.7201195955276489,0.5143033266067505,-1.7813118696212769,-0.09957664459943771,-1.9085197448730469,0.8012648820877075,0.7681275606155396
4.4,0.6153734922409058,2.0484824180603027,-2.0882089138031006,2.812809467315674,-3.1145055294036865,-1.4527488946914673,-0.42412176728248596,1.4689640998840332,0.08211617171764374,1.573866367340088,-0.6607654094696045,-0.6334386467933655,0.6000205278396606,-2.0781970024108887,-0.11617273092269897,-2.2266061305999756,0.9348088502883911,0.896148681640625
4.5,0.5746044516563416,2.189687728881836,-2.080315351486206,2.9640986919403076,-3.1780221462249756,-1.5136387348175049,-0.3571551740169525,1.2370223999023438,0.06915045529603958,1.3253611326217651,-0.5564340353012085,-0.5334219932556152,0.6857377290725708,-2.375082492828369,-0.13276885449886322,-2.5446927547454834,1.0683530569076538,1.024169921875
