t,u1,u2,u3,u4,u5,u6
6.100000000000000533e+00,-5.241680744763915767e-02,-5.949107887816285078e-02,-4.316279195263005020e-02,-9.268787994669422034e-04,2.388814590161114377e-03,1.317629855231756573e-04
6.200000000000000178e+00,-4.441355970707530632e-02,-5.625080774713420856e-02,-4.180165113315234549e-02,-9.489800271086515707e-04,2.469620364025576238e-03,1.460039932743984045e-04
6.300000000000000711e+00,-3.580617181220556444e-02,-5.125167403061657578e-02,-3.955694008000321116e-02,-9.560062412864861470e-04,2.538886297719799949e-03,1.605131280674953966e-04
6.400000000000000355e+00,-2.680950131893593269e-02,-4.454529311280910203e-02,-3.645662152398929101e-02,-9.489378771520761910e-04,2.596262932789512087e-03,1.751776444027090839e-04
6.500000000000000000e+00,-1.763014409489306600e-02,-3.625466265332234761e-02,-3.256268979853153833e-02,-9.285280598860948600e-04,2.641316208158608729e-03,1.898715533304322670e-04
6.600000000000000533e+00,-8.458478909902672482e-03,-2.656732197939380702e-02,-2.796792373186642033e-02,-8.955524950722409949e-04,2.673699255326379698e-03,2.044657947690380994e-04
6.700000000000000178e+00,5.377590081298982971e-04,-1.572405365811464090e-02,-2.279047180590892258e-02,-8.510485665791924989e-04,2.693310095990597824e-03,2.188373633991740801e-04
6.800000000000000711e+00,9.217887382205441904e-03,-4.004240741580025742e-03,-1.716680095786820778e-02,-7.965107668326488685e-04,2.700413919413343668e-03,2.328764546453710718e-04
6.900000000000000355e+00,1.747042813556604068e-02,8.290713330181359586e-03,-1.124368488126587309e-02,-7.340160438050417208e-04,2.695713366652111639e-03,2.464910100499553836e-04
7.000000000000000000e+00,2.521300862715468438e-02,2.085439741134137437e-02,-5.169958062095381460e-03,-6.662638477329162548e-04,2.680357876393563155e-03,2.596084165673279804e-04
7.100000000000000533e+00,3.239023610284055832e-02,3.339142189511752623e-02,9.112781045804855054e-04,-5.965291637202493197e-04,2.655892055754414081e-03,2.721744791031420604e-04
7.200000000000000178e+00,3.896992480713555584e-02,4.563128455443137693e-02,6.869422518036101023e-03,-5.285399264474913844e-04,2.624151498895777035e-03,2.841500783471678326e-04
7.300000000000000711e+00,4.493814212688256038e-02,5.733922027669190180e-02,1.259169712532139801e-02,-4.663006205042237451e-04,2.587121030969833421e-03,2.955061077045237523e-04
7.400000000000000355e+00,5.029356031203188748e-02,6.832354166179313570e-02,1.798678109599567698e-02,-4.138900983213034471e-04,2.546774097027575123e-03,3.062173416644558004e-04
7.500000000000000000e+00,5.504156538434347434e-02,7.843931948063148640e-02,2.298667853055459329e-02,-3.752632152627705282e-04,2.504912676552382457e-03,3.162558344682828712e-04
7.600000000000000533e+00,5.918850080481344311e-02,8.758854152582899733e-02,2.754688367241051386e-02,-3.540831995315031275e-04,2.463024982152060491e-03,3.255843093086183420e-04
7.700000000000000178e+00,6.273632644736625019e-02,9.571710700087684986e-02,3.164501596567131925e-02,-3.536057793970650079e-04,2.422173983830470338e-03,3.341498077826921920e-04
7.800000000000000711e+00,6.567786679258594273e-02,1.028091566198032492e-01,3.527816972855929434e-02,-3.766283178606080057e-04,2.382924358656155796e-03,3.418776586005238148e-04
7.900000000000000355e+00,6.799271534358541924e-02,1.088793105061897915e-01,3.845926167902388726e-02,-4.255088970268124278e-04,2.345309668484859764e-03,3.486656183367118126e-04
8.000000000000000000e+00,6.964376042404378520e-02,1.139633956447402285e-01,4.121266818251232561e-02,-5.022525805156090144e-04,2.308836152736454435e-03,3.543778508497439717e-04
8.099999999999999645e+00,7.057420313181594906e-02,1.181082014605068231e-01,4.356942729229777711e-02,-6.086557389453691336e-04,2.272515022054230095e-03,3.588382527854463251e-04
8.200000000000001066e+00,7.070485250999675175e-02,1.213607134911685176e-01,4.556224179626594539e-02,-7.464946843029369051e-04,2.234911856459679234e-03,3.618225017056072136e-04
8.300000000000000711e+00,6.993140890815746635e-02,1.237571448932033996e-01,4.722046001481573774e-02,-9.177417229277251912e-04,2.194199733452748165e-03,3.630481028679100833e-04
8.400000000000000355e+00,6.812139402000907951e-02,1.253119124993501698e-01,4.856512956734125586e-02,-1.124789205212637202e-03,2.148201937156810244e-03,3.621616547890157099e-04
8.500000000000000000e+00,6.511038310757942538e-02,1.260064797478631093e-01,4.960410969228938594e-02,-1.370658287266918445e-03,2.094410312879183608e-03,3.587225916076770306e-04
8.599999999999999645e+00,6.069731055199392711e-02,1.257776918666509425e-01,5.032707569499270117e-02,-1.659160294143756246e-03,2.029966365570868084e-03,3.521829215935774228e-04
8.700000000000001066e+00,5.463901356127636583e-02,1.245048143889032066e-01,5.070002471719219084e-02,-1.994958346368310570e-03,1.951594394197470744e-03,3.418632669433909247e-04
8.800000000000000711e+00,4.664519977466387302e-02,1.219938641554742381e-01,5.065853524636856897e-02,-2.383434646209013630e-03,1.855481425215705065e-03,3.269274626396212425e-04
8.900000000000000355e+00,3.637739219765083465e-02,1.179568186396245250e-01,5.009842996544237176e-02,-2.830189744427341267e-03,1.737114720845988475e-03,3.063623435966555952e-04
9.000000000000000000e+00,2.346045201643687933e-02,1.119815937632300529e-01,4.886144964410277236e-02,-3.339874390997687841e-03,1.591134664922796852e-03,2.789782107188085430e-04
9.099999999999999645e+00,7.524890942452972659e-03,1.034858243200001693e-01,4.671182073377706800e-02,-3.913921301493333664e-03,1.411388625162517205e-03,2.434608839365455719e-04
9.200000000000001066e+00,-1.168735578207619544e-02,9.164321233268371558e-02,4.329725531031380220e-02,-4.546836116821121633e-03,1.191675889744336697e-03,1.985248750350734242e-04
9.300000000000000711e+00,-3.411291495414476432e-02,7.526842580822556972e-02,3.808722378009864185e-02,-5.221758156383244850e-03,9.282345833969041400e-04,1.432129993596330622e-04
9.400000000000000355e+00,-5.905862053021715408e-02,5.266658770240828513e-02,3.029437370313105629e-02,-5.909236124095267051e-03,6.254057579962583099e-04,7.729114251505260448e-05
9.500000000000000000e+00,-8.500280772188567591e-02,2.158065372390079173e-02,1.885148282990171606e-02,-6.577354252252528427e-03,3.036156646510624040e-04,1.474938209655154639e-06
9.600000000000001421e+00,-1.100591539075507497e-01,-2.031533376858879122e-02,2.664393860062954159e-03,-7.216038513018020566e-03,-7.330154935896956471e-07,-8.272625261150314728e-05
9.700000000000001066e+00,-1.335426821636245820e-01,-7.432690166458019720e-02,-1.881841230309888244e-02,-7.862720390355040084e-03,-2.612074190064184913e-04,-1.731157242055169515e-04
9.800000000000000711e+00,-1.577661101851238756e-01,-1.429403904697266192e-01,-4.638068713774008006e-02,-8.656008942534343734e-03,-5.012810550493588570e-04,-2.660037845745556674e-04
9.900000000000000355e+00,-9.753913574754832227e-01,-7.172116001047994516e-01,-2.317478139035294427e-01,-4.399375835635521703e-02,-9.753921199588620186e-04,-3.109371424439491029e-03
